index,path,name
203,_li_chuang_kai_fa_ban_rgb_mcu_480x800_transfer,RGB_800X480
204,_ai_thiner_openteam_m6132cam,小安派_Cam_D
205,_buerchen_t12_han_bi_v6_1,T12焊笔v6.1
206,_an_ye_cube_443__shi_bo_nie_zi,Cube_443_示波镊子
207,_sxy2020_vehicle_4g_device,基于STM32+移远EC20的CAN网络车载终端
208,_gongchengshi110_li_xian_yu_yin_lan_ya_yin_xiang,离线语音蓝牙音箱
209,_xk_w_ji_yu_ESP32_STM32de_zhi_neng_yu_,基于ESP32和STM32的智能鱼缸系统控制板
210,_zhuyshuang_4cun_fang_xing_HDMIping_dai_USBc,4寸分光棱镜屏_HDMI驱动板
211,_yifan0131_huan_jing_qi_xiang_jian_ce_yi_2,环境气象监测仪2
212,_qiufengluoye_lumi_robot,Bili_Robot
213,_aknice_type_c_zhuan_huan_qi,TYPE_C转HDMI+USB3.1+PD
214,_qinzr_3Dluo_yan_feng_shan,3D裸眼风扇
215,_big_big_a_ke_le_chong_dian_bao_dai_wu_xian,可乐充电宝4.0(带无线充)
216,_PCBguy_2e3UWJAkJbkpLge9zfKt6Q9YRR9SX1Nb,_毕业设计_履带四足复合机器人
217,_ls12864_lan_ya_yin_xiang_2,初音未来
218,_lithium_pcie_to_4x_u2_8639_fire51,PCIe_转四盘位_U.2_背板和硬盘笼
219,_xiao5333_3dda_yin_ji_klipperkong_zhi_ban,3D打印机klipper控制板_Mini_E3S6
220,_supermeuser_led_shi_zhong,征集令__LED时钟
221,_shukkkk_led_chu_mo_ban,_像素盒子_触摸屏LED灯板
222,_dwcvwcv_8x8_xuan_cai_pin_pu_deng,征集令__物联网8x8炫彩随心屏
223,_eedadada_chappie2,简易小手表~
224,_jd3096_VFD_CLOCK_MICROPYTHON,VFD_LITE时钟
225,_supermeuser_fans_lamp,[B数显示器]B站百万粉丝灯牌！
226,_zhou1236_2_dian_dong_che_100v,2、电动车100V
227,_aknice_jms578_demo,SATA_6Gb_s_转_USB3.1_Gen1_JMS578
228,_bonus_stm32_bike,STM32动量轮平衡自行车
229,_bonus_hollow_clock,Hollow_Clock_Plus_秒针、分针、时针、一个都不能少！
230,_planevina_esp32_s3_homekit_shen_zhi_yan,可以Homekit开关电脑、显示频谱律动的神之眼
231,_xiaohuafeixia_pian_xie_qi_beng_ESP32_CS1237_No,便携气泵_ESP32_CS1237_Nokia_5110
232,_le12138_40yuan_da_zao_4Gyao_kong_ju_wu_x,4G遥控车，无限距离控制
233,_metro_tagcube,TagCube，支持NFC无线供电的5x7LED点阵定制名片
234,_leannn_minibot,迷你掌上平衡车miniBot
235,_travellium_J_Link_V9_Base,_已验证_J_Link_V9_Base__jlink
236,_gbigcousin_Homekit_ren_zai_wen_shi_du_zhuan,Homekit_多合一传感器
237,_yuzisoft_ji_yu_li_chuang_liang_shan_pai_d,基于_立创梁山派_的避障循迹蓝牙小车
238,_23studio_deng_xiang,立创面板打印_(网红灯)仿电气灯桌面摆件
239,_1102070a_mo_ke_ban_hu_tao_yao,魔刻版胡桃摇
240,_shukkkk_esp32c3_stylophone,PCB电子乐器
241,_electricrunning_xmos_usb_audio,XMOS_USB数字界面
242,_daqolee_xiao_mi_wu_ren_ji_yao_kong_qi,改装小米无人机遥控器
243,_leesophia_bilibili_ESP32CAMRoverLite,ESP32麦克纳姆轮图传小车___ESP32CAM
244,_100askteam_Yuzukilizard_transfer,Yuzukilizard_柚木PI_迷你_AIoT_开发板
245,_heyh_Macro_microscope,电子微距显微镜
246,_lipk_keyboard_1,kb84_QMK_键盘
247,_aknice_hdmi_1_jin_4_chu_tong_ping_qi,HDMI_1进4出_同屏器_分配器
248,_lonerwolf_lw_han_tai,LW焊台
249,_xyzdiy_type_c_ssd_enclosure,Type_C_SSD硬盘盒
250,_18511895537_TOFji_guang_ce_ju_yi,TOF激光测距仪
251,_LE12138_1f51ac624d2742d7a845f79a25eda0b2,Le远控2.0_RC遥控改4G遥控
252,_24889g_ivd_pcr,#第七届立创电赛#医疗电子IVD荧光检测模块
253,_xyzdiy_ac6955_bluetooth_audio,蓝牙5.1无损音频播放器
254,_bukaiyuan_led_huiguang,LED拟辉光管
255,_l1009184289_gui_hua_zhong,梁山派扩展板_热成像
256,_swadw_hui_guang_shi_yin_deng_v1_0,辉光拾音灯v1.0
257,_m2021z_xing_huo_ji_hua_01,原创爬楼测温机器长颈鹿
258,_verysunshine_34e06a1e8bfa4ca7a126286b764d3f7b,[精品毕设]分布式设备的物联网控制系统设计_星火计划
259,_aknice_vl822_ch484m_si_jin_si_chu_usb3_0_hub,高速USB3.0共享器_四进四出选择_HUB+切换器
260,_q837877663_stc51_dan_pian_ji_wu_xian_xia_zai_qi,51单片机无线下载器
261,_c13f_electronic_solder_paste_by_C13F,电动锡膏挤出机点锡膏机分配器
262,_xmz0916_ESPMonitor_Plus,ESPMonitor_Plus
263,_eedadada_chappie_oshw,_ESP32_S3_1.69寸触摸屏迷你控制器~
264,_qingchin_ji_yu_AD620de_cheng_kong_yi_biao,基于AD620的程控仪表放大电路设计
265,_zhong123_tai_yang_neng_ding_shi_zhao_xian,太阳能定时照相机
266,_dongbaokun_WIFIkillsu_xiao_ban,WIFIkill缩小版板厚1.2mm
267,_47415y_rgbww_bu_guang_deng_v2_0,RGBWW_全彩补光灯V2.0
268,_47415y_da_gong_lv_shou_ti_deng,大功率多色温手电筒
269,_IMHHH_982e79b56f734335a32163ca3676c9d8,Multiband_Receiver
270,_mmjx_ji_yu_wu_lian_wang_de_hui_guang_,基于物联网的辉光管时钟系统
271,_code504_action_2_poor_v1,Action_2_Poor
272,_yanqisui_rf_433_315_she_pin_wang_guan_he_zi,立创面板打印_RF_433_315射频网关盒子
273,_cqyyjdw_sony_shutter,基于CH582F的索尼MultiPort接口蓝牙快门
274,_daqolee_dian_ci_v8_fa_dong_ji_13,电磁V8发动机
275,_Alpha_go_a5IITjkVGF1cA9kyTV2V9sIHra7GcIg2,便携式示波器_主体部分
276,_yuanzihao_71439defe4df4fd281e0669e989eb97f,[DIY]基于RT_Thread的辉光管语音番茄钟
277,_corebb_bblaser_pro,bbLaser_矢量激光投影仪
278,_520world_cai_se_yuan_su_zhou_qi_biao,彩色元素周期表WS2812彩灯摆件(立创彩色PCB_涂鸦智能)
279,_100askteam_porject_yosemite,高性能异构边缘AI视觉开发板_Porject_Yosemite
